loan_id,application_date,settlement_date,state,postcode_region,property_type,occupancy_type,loan_purpose,first_home_buyer,channel,loan_amount,property_value,deposit_amount,lvr_pct,interest_rate_pct,term_years,repayment_type,monthly_repayment,application_status,days_to_decision,credit_score_band,debt_to_income_ratio,arrears_days,hardship_flag,annual_household_income,current_balance
HL-00120,2025-06-26,2025-08-07,NSW,Metro,House,Investment,Refinance,false,Broker,651000.00,916000.00,265000.00,71.08,5.701,30,Principal and Interest,3778.82,Active,4,Excellent,4.67,21,false,139400.00,602721.94
HL-00121,2025-07-31,2025-08-26,NSW,Metro,Apartment,Investment,Refinance,false,Direct,543000.00,812000.00,269000.00,66.86,6.466,30,Principal and Interest,3420.00,Active,5,Excellent,2.38,0,false,228200.00,495768.92
HL-00122,2025-07-12,2025-08-26,NSW,Inner Regional,Townhouse,Investment,Purchase,false,Digital,466000.00,711000.00,245000.00,65.52,6.168,30,Principal and Interest,2844.44,Active,4,Very Good,6.32,0,false,75000.00,447442.34
HL-00123,2025-07-07,,NSW,Metro,Apartment,Owner Occupied,Purchase,false,Broker,666000.00,1034000.00,368000.00,64.40,6.332,25,Principal and Interest,4427.22,Declined,10,Excellent,4.11,0,false,162000.00,0.00
HL-00124,2025-07-19,2025-09-11,NSW,Metro,House,Owner Occupied,Purchase,false,Direct,661000.00,957000.00,296000.00,69.09,6.500,25,Interest Only,3580.42,Active,6,Fair,4.51,0,false,146600.00,608606.00
HL-00125,2025-07-01,,WA,Metro,House,Investment,Purchase,false,Digital,663000.00,804000.00,141000.00,82.51,6.588,30,Principal and Interest,4229.05,Declined,4,Excellent,2.16,0,false,306900.00,0.00
HL-00126,2025-07-03,,NSW,Inner Regional,House,Owner Occupied,Purchase,false,Broker,660000.00,904000.00,244000.00,72.96,5.451,30,Principal and Interest,3727.14,Declined,8,Very Good,4.92,0,false,134100.00,0.00
HL-00127,2025-07-31,2025-09-18,NSW,Inner Regional,Townhouse,Investment,Purchase,false,Broker,434000.00,632000.00,198000.00,68.72,5.823,25,Principal and Interest,2749.50,Active,10,Excellent,2.16,0,false,200900.00,411101.48
HL-00128,2025-07-02,,QLD,Inner Regional,House,Investment,Purchase,true,Direct,912000.00,1100000.00,188000.00,82.88,6.024,30,Interest Only,4578.24,Approved,3,Very Good,2.36,0,false,386400.00,0.00
HL-00129,2025-07-30,2025-09-15,NSW,Metro,House,Investment,Construction,true,Digital,680000.00,872000.00,192000.00,78.01,5.576,30,Principal and Interest,3893.45,Active,6,Very Good,3.42,0,false,198800.00,625885.56
HL-00130,2025-07-08,2025-08-30,QLD,Metro,House,Investment,Purchase,false,Direct,725000.00,1003000.00,278000.00,72.24,5.751,30,Principal and Interest,4231.36,Active,7,Excellent,5.44,0,false,133300.00,633724.05
HL-00131,2025-07-10,,NSW,Metro,House,Investment,Purchase,true,Direct,917000.00,1067000.00,150000.00,85.92,6.172,35,Principal and Interest,5334.99,Approved,9,Limited,2.38,0,false,385300.00,0.00
HL-00132,2025-07-02,2025-08-17,WA,Metro,Apartment,Owner Occupied,Purchase,false,Digital,475000.00,785000.00,310000.00,60.45,5.419,25,Principal and Interest,2893.98,Active,2,Good,6.86,0,false,75000.00,458416.95
HL-00133,2025-07-10,2025-07-29,WA,Metro,Townhouse,Owner Occupied,Refinance,false,Broker,417000.00,648000.00,231000.00,64.41,6.261,30,Principal and Interest,2570.52,Active,9,Good,2.73,0,false,152700.00,394757.12
HL-00134,2025-07-12,2025-08-11,NSW,Inner Regional,Townhouse,Investment,Purchase,false,Broker,898000.00,1351000.00,453000.00,66.45,6.671,30,Principal and Interest,5777.33,Active,10,Very Good,5.00,0,false,179600.00,786441.47
HL-00135,2025-07-15,2025-08-20,SA,Inner Regional,House,Owner Occupied,Purchase,true,Direct,661000.00,774000.00,113000.00,85.38,6.169,30,Principal and Interest,4035.13,Active,9,Excellent,5.17,0,false,127900.00,588166.65
HL-00136,2025-07-23,2025-09-13,WA,Inner Regional,House,Investment,Purchase,true,Broker,751000.00,929000.00,178000.00,80.80,5.939,30,Principal and Interest,4473.21,Active,9,Fair,2.97,0,false,252900.00,653607.39
HL-00137,2025-07-25,,SA,Metro,House,Owner Occupied,Purchase,false,Broker,390000.00,441000.00,51000.00,88.40,5.974,30,Interest Only,1941.55,Declined,9,Very Good,3.43,0,false,113700.00,0.00
HL-00138,2025-07-31,2025-09-18,VIC,Metro,House,Owner Occupied,Purchase,false,Broker,475000.00,574000.00,99000.00,82.82,6.162,30,Principal and Interest,2897.53,Active,9,Very Good,5.15,36,false,92200.00,439246.20
HL-00139,2025-07-30,2025-09-03,VIC,Metro,House,Investment,Purchase,false,Direct,718000.00,909000.00,191000.00,78.96,5.657,25,Interest Only,3384.77,Active,5,Very Good,2.43,0,false,295500.00,630632.89
HL-00140,2025-07-11,2025-07-29,VIC,Outer Regional,House,Investment,Purchase,true,Digital,1146000.00,1252000.00,106000.00,91.57,5.943,25,Principal and Interest,7343.82,Active,8,Good,6.79,0,false,168800.00,1041642.39
HL-00141,2025-08-31,,NSW,Inner Regional,House,Owner Occupied,Purchase,true,Broker,909000.00,1023000.00,114000.00,88.82,5.909,35,Principal and Interest,5127.59,Withdrawn,5,Excellent,4.60,0,false,197600.00,0.00
HL-00142,2025-08-13,2025-10-04,NSW,Outer Regional,House,Investment,Purchase,true,Broker,673000.00,902000.00,229000.00,74.62,5.505,30,Principal and Interest,3823.33,Active,6,Excellent,6.45,0,false,104300.00,668825.84
HL-00143,2025-08-10,,QLD,Metro,House,Investment,Refinance,true,Broker,849000.00,1071000.00,222000.00,79.30,6.526,30,Principal and Interest,5380.78,Withdrawn,8,Very Good,7.08,0,false,119900.00,0.00
HL-00144,2025-08-02,2025-09-17,QLD,Outer Regional,House,Owner Occupied,Equity Release,false,Direct,787000.00,959000.00,172000.00,82.03,5.982,30,Principal and Interest,4709.36,Active,4,Excellent,3.32,0,false,237000.00,765839.88
HL-00145,2025-08-11,2025-10-05,VIC,Metro,Townhouse,Investment,Purchase,false,Broker,530000.00,663000.00,133000.00,79.90,5.810,30,Principal and Interest,3113.17,Active,11,Limited,3.76,0,false,141000.00,483194.54
HL-00146,2025-08-04,,VIC,Inner Regional,House,Owner Occupied,Purchase,false,Broker,646000.00,1256000.00,610000.00,51.44,6.585,25,Principal and Interest,4396.21,Approved,6,Good,4.62,0,false,139800.00,0.00
HL-00147,2025-08-02,2025-09-01,VIC,Outer Regional,Apartment,Owner Occupied,Refinance,false,Broker,295000.00,583000.00,288000.00,50.52,6.324,35,Principal and Interest,1746.73,Active,9,Excellent,7.19,65,false,75000.00,259928.47
HL-00148,2025-08-08,2025-09-03,QLD,Outer Regional,Apartment,Owner Occupied,Refinance,false,Direct,699000.00,808000.00,109000.00,86.47,6.300,30,Principal and Interest,4326.62,Active,7,Very Good,2.16,0,false,323600.00,641383.85
HL-00149,2025-08-11,2025-09-01,VIC,Inner Regional,House,Investment,Purchase,false,Broker,368000.00,509000.00,141000.00,72.37,6.117,30,Principal and Interest,2234.10,Active,11,Good,6.38,0,false,75000.00,332059.03
HL-00150,2025-08-22,2025-09-10,NSW,Metro,House,Owner Occupied,Refinance,true,Direct,489000.00,593000.00,104000.00,82.39,6.170,30,Principal and Interest,2985.46,Active,2,Good,5.42,0,false,90200.00,484185.60
HL-00151,2025-08-22,2025-09-27,VIC,Metro,Townhouse,Owner Occupied,Equity Release,true,Broker,563000.00,657000.00,94000.00,85.74,5.477,30,Principal and Interest,3188.53,Active,9,Good,6.99,99,true,80500.00,486357.63
HL-00152,2025-08-20,2025-10-04,NSW,Metro,House,Owner Occupied,Purchase,false,Direct,414000.00,589000.00,175000.00,70.21,6.235,30,Principal and Interest,2545.03,Active,1,Good,4.07,0,false,101700.00,378802.84
HL-00153,2025-08-25,,QLD,Metro,House,Owner Occupied,Refinance,false,Broker,328000.00,428000.00,100000.00,76.56,6.114,30,Principal and Interest,1990.63,Approved,6,Good,5.36,0,false,75000.00,0.00
HL-00154,2025-08-16,2025-09-26,QLD,Metro,House,Investment,Purchase,false,Direct,560000.00,715000.00,155000.00,78.39,5.453,30,Principal and Interest,3163.12,Active,4,Very Good,5.69,0,false,98400.00,490671.10
HL-00155,2025-08-22,2025-09-28,ACT,Metro,Townhouse,Owner Occupied,Refinance,false,Broker,654000.00,809000.00,155000.00,80.87,6.103,35,Principal and Interest,3774.39,Active,9,Good,2.67,0,false,244900.00,636562.12
HL-00156,2025-08-19,2025-09-14,WA,Inner Regional,Apartment,Owner Occupied,Purchase,true,Direct,509000.00,566000.00,57000.00,89.90,6.564,35,Principal and Interest,3097.55,Active,8,Excellent,5.54,0,false,91900.00,496367.13
HL-00157,2025-08-29,,NSW,Metro,Apartment,Owner Occupied,Purchase,true,Direct,491000.00,578000.00,87000.00,84.96,6.272,25,Principal and Interest,3245.66,Declined,7,Very Good,4.59,0,false,107000.00,0.00
HL-00158,2025-08-17,,SA,Metro,House,Investment,Refinance,true,Broker,689000.00,846000.00,157000.00,81.41,6.310,30,Principal and Interest,4269.21,Approved,7,Good,6.28,0,false,109700.00,0.00
HL-00159,2025-08-23,,QLD,Metro,Apartment,Owner Occupied,Purchase,false,Digital,445000.00,651000.00,206000.00,68.34,6.364,30,Principal and Interest,2773.02,Approved,7,Very Good,3.13,0,false,142200.00,0.00
HL-00160,2025-08-13,2025-09-25,QLD,Metro,Apartment,Investment,Purchase,true,Broker,782000.00,907000.00,125000.00,86.22,5.977,25,Principal and Interest,5027.45,Active,8,Very Good,3.24,0,false,241400.00,750971.02
HL-00161,2025-09-13,2025-10-11,NSW,Inner Regional,Apartment,Investment,Construction,false,Digital,826000.00,1343000.00,517000.00,61.53,5.921,30,Principal and Interest,4910.41,Active,5,Very Good,3.71,0,false,222600.00,764012.17
HL-00162,2025-09-18,2025-10-14,NSW,Metro,House,Investment,Construction,false,Direct,718000.00,1067000.00,349000.00,67.28,6.496,35,Principal and Interest,4335.86,Active,4,Very Good,4.87,74,true,147400.00,659462.21
HL-00163,2025-09-21,,WA,Inner Regional,House,Owner Occupied,Purchase,true,Direct,829000.00,946000.00,117000.00,87.61,5.625,35,Principal and Interest,4519.98,Withdrawn,6,Good,5.75,0,false,144200.00,0.00
HL-00164,2025-09-18,,QLD,Metro,House,Investment,Purchase,false,Broker,756000.00,1100000.00,344000.00,68.74,6.033,25,Interest Only,3800.79,Declined,10,Very Good,4.02,0,false,188100.00,0.00
HL-00165,2025-09-06,2025-10-06,NSW,Metro,Apartment,Owner Occupied,Purchase,false,Digital,1041000.00,1275000.00,234000.00,81.63,6.007,30,Principal and Interest,6246.01,Active,5,Very Good,5.88,0,false,177000.00,928421.15
HL-00166,2025-09-25,2025-11-17,VIC,Metro,House,Investment,Purchase,false,Broker,634000.00,870000.00,236000.00,72.85,6.315,30,Principal and Interest,3930.49,Active,4,Good,5.89,51,false,107600.00,549050.41
HL-00167,2025-09-16,2025-10-15,VIC,Metro,Townhouse,Owner Occupied,Purchase,false,Direct,1028000.00,1201000.00,173000.00,85.58,5.769,25,Principal and Interest,6479.02,Active,7,Good,3.41,0,false,301500.00,924983.96
HL-00168,2025-09-17,2025-10-07,VIC,Metro,House,Owner Occupied,Purchase,false,Direct,566000.00,997000.00,431000.00,56.77,5.607,30,Principal and Interest,3251.79,Active,4,Very Good,2.91,0,false,194500.00,536732.41
HL-00169,2025-09-16,2025-10-17,NSW,Outer Regional,House,Owner Occupied,Purchase,false,Broker,503000.00,733000.00,230000.00,68.58,5.909,30,Principal and Interest,2986.37,Active,12,Excellent,6.54,0,false,76900.00,485078.99
HL-00170,2025-09-28,2025-11-01,SA,Metro,Apartment,Owner Occupied,Purchase,false,Digital,339000.00,489000.00,150000.00,69.25,6.124,30,Principal and Interest,2059.58,Active,7,Limited,2.94,0,false,115300.00,329169.69
HL-00171,2025-09-04,,VIC,Metro,Apartment,Investment,Purchase,false,Direct,757000.00,1226000.00,469000.00,61.78,6.079,30,Principal and Interest,4577.12,Declined,10,Excellent,2.51,0,false,301600.00,0.00
HL-00172,2025-09-28,,NSW,Metro,House,Owner Occupied,Purchase,true,Broker,1068000.00,1206000.00,138000.00,88.53,6.509,25,Interest Only,5793.01,Approved,6,Good,6.81,0,false,156800.00,0.00
HL-00173,2025-09-15,2025-11-07,NSW,Metro,House,Owner Occupied,Purchase,true,Direct,1158000.00,1302000.00,144000.00,88.94,5.719,30,Interest Only,5518.84,Active,6,Good,6.99,0,false,165700.00,1079695.97
HL-00174,2025-09-30,,NSW,Metro,House,Owner Occupied,Purchase,true,Digital,692000.00,796000.00,104000.00,86.99,5.974,25,Principal and Interest,4447.57,Approved,2,Good,2.61,0,false,265100.00,0.00
HL-00175,2025-09-24,2025-10-18,QLD,Outer Regional,House,Investment,Refinance,false,Direct,508000.00,822000.00,314000.00,61.81,6.556,30,Principal and Interest,3229.64,Active,7,Fair,5.96,0,false,85200.00,466450.04
HL-00176,2025-09-01,2025-10-09,QLD,Metro,Apartment,Owner Occupied,Construction,false,Digital,629000.00,819000.00,190000.00,76.83,5.770,30,Principal and Interest,3678.67,Active,7,Good,2.52,0,false,249600.00,589310.50
HL-00177,2025-09-20,2025-10-13,NSW,Metro,Townhouse,Investment,Refinance,false,Broker,670000.00,987000.00,317000.00,67.90,6.279,25,Principal and Interest,4431.80,Active,4,Fair,2.47,0,false,271300.00,627492.74
HL-00178,2025-09-25,2025-10-20,QLD,Inner Regional,House,Owner Occupied,Purchase,true,Digital,496000.00,621000.00,125000.00,79.88,6.494,25,Principal and Interest,3347.17,Active,4,Very Good,3.23,23,false,153600.00,473577.71
HL-00179,2025-09-28,2025-11-09,WA,Inner Regional,House,Investment,Purchase,false,Digital,774000.00,975000.00,201000.00,79.43,6.116,30,Principal and Interest,4698.40,Active,4,Excellent,4.05,0,false,191100.00,689873.75
HL-00180,2025-09-17,2025-10-23,NSW,Metro,House,Investment,Purchase,false,Direct,726000.00,1021000.00,295000.00,71.13,6.425,30,Principal and Interest,4553.06,Active,10,Good,6.20,0,false,117100.00,698021.35
HL-00181,2025-10-05,,NSW,Metro,Townhouse,Owner Occupied,Purchase,true,Broker,1183000.00,1315000.00,132000.00,89.97,5.611,25,Principal and Interest,7343.28,Withdrawn,5,Excellent,5.85,0,false,202200.00,0.00
HL-00182,2025-10-22,2025-11-25,QLD,Inner Regional,House,Owner Occupied,Purchase,false,Direct,302000.00,397000.00,95000.00,76.14,6.276,25,Principal and Interest,1997.06,Active,4,Good,6.16,0,false,75000.00,274168.92
HL-00183,2025-10-23,2025-11-10,WA,Inner Regional,House,Owner Occupied,Purchase,false,Broker,481000.00,816000.00,335000.00,58.90,6.555,30,Principal and Interest,3057.67,Active,4,Very Good,3.18,0,false,151300.00,448458.82
HL-00184,2025-10-10,2025-11-15,VIC,Metro,Apartment,Investment,Purchase,false,Digital,756000.00,1149000.00,393000.00,65.82,6.508,30,Principal and Interest,4782.41,Active,7,Excellent,4.30,0,false,175800.00,687253.62
HL-00185,2025-10-17,2025-11-26,VIC,Metro,Townhouse,Owner Occupied,Equity Release,true,Digital,1035000.00,1284000.00,249000.00,80.61,5.733,30,Principal and Interest,6028.81,Active,7,Good,2.54,0,false,407500.00,1003573.10
HL-00186,2025-10-10,2025-11-10,QLD,Metro,House,Investment,Purchase,false,Direct,750000.00,1002000.00,252000.00,74.88,6.578,35,Principal and Interest,4571.40,Active,2,Good,4.99,0,false,150300.00,698759.13
HL-00187,2025-10-13,,QLD,Metro,House,Owner Occupied,Refinance,true,Broker,501000.00,589000.00,88000.00,85.09,6.474,30,Principal and Interest,3158.10,Withdrawn,10,Good,6.56,0,false,76400.00,0.00
HL-00188,2025-10-31,2025-12-27,NSW,Metro,House,Owner Occupied,Refinance,true,Broker,867000.00,1013000.00,146000.00,85.63,6.109,25,Interest Only,4413.75,Active,10,Good,2.92,0,false,296900.00,826685.99
HL-00189,2025-10-11,2025-11-04,WA,Metro,Townhouse,Owner Occupied,Purchase,false,Digital,891000.00,1016000.00,125000.00,87.73,5.867,30,Principal and Interest,5266.05,Active,1,Good,2.96,0,false,301000.00,770778.27
HL-00190,2025-10-27,,VIC,Metro,Apartment,Owner Occupied,Refinance,false,Direct,472000.00,740000.00,268000.00,63.81,6.381,30,Principal and Interest,2946.52,Withdrawn,5,Good,3.04,0,false,155300.00,0.00
HL-00191,2025-10-10,,QLD,Metro,Land,Owner Occupied,Purchase,true,Direct,823000.00,965000.00,142000.00,85.26,6.241,35,Principal and Interest,4826.61,Withdrawn,3,Good,5.80,0,false,141900.00,0.00
HL-00192,2025-10-27,2025-11-20,VIC,Metro,House,Investment,Purchase,false,Broker,385000.00,540000.00,155000.00,71.30,5.590,30,Principal and Interest,2207.78,Active,10,Excellent,3.60,0,false,106900.00,376915.81
HL-00193,2025-10-20,2025-12-08,VIC,Metro,Apartment,Investment,Purchase,false,Broker,691000.00,769000.00,78000.00,89.85,6.436,30,Principal and Interest,4338.55,Active,7,Limited,5.56,0,false,124300.00,625477.13
HL-00194,2025-10-24,2025-11-24,NSW,Inner Regional,House,Owner Occupied,Equity Release,false,Digital,855000.00,1107000.00,252000.00,77.24,6.299,30,Principal and Interest,5291.66,Active,4,Excellent,6.23,0,false,137200.00,811196.78
HL-00195,2025-10-03,2025-11-15,VIC,Metro,House,Owner Occupied,Purchase,false,Direct,511000.00,678000.00,167000.00,75.32,5.687,30,Principal and Interest,2961.64,Active,6,Excellent,6.48,0,false,78900.00,472083.82
HL-00196,2025-10-25,2025-12-02,VIC,Metro,Apartment,Owner Occupied,Purchase,true,Broker,1018000.00,1204000.00,186000.00,84.54,6.572,25,Principal and Interest,6919.48,Active,9,Excellent,5.77,0,false,176400.00,894319.93
HL-00197,2025-10-27,2025-12-01,NSW,Metro,House,Investment,Refinance,false,Broker,747000.00,1077000.00,330000.00,69.34,6.350,30,Principal and Interest,4648.10,Active,5,Excellent,4.99,0,false,149700.00,733495.41
HL-00198,2025-10-27,2025-12-20,VIC,Metro,Townhouse,Owner Occupied,Purchase,false,Direct,441000.00,512000.00,71000.00,86.06,6.356,30,Principal and Interest,2745.79,Active,7,Very Good,6.95,0,false,75000.00,398469.78
HL-00199,2025-10-15,,NSW,Inner Regional,Townhouse,Owner Occupied,Construction,false,Digital,643000.00,1033000.00,390000.00,62.21,5.610,30,Principal and Interest,3695.38,Declined,1,Good,4.95,0,false,129900.00,0.00
HL-00200,2025-10-15,2025-12-08,VIC,Inner Regional,House,Owner Occupied,Purchase,true,Direct,811000.00,990000.00,179000.00,81.95,5.404,30,Interest Only,3652.20,Active,6,Good,4.87,0,false,166500.00,704856.35
HL-00201,2025-11-27,,NSW,Metro,House,Owner Occupied,Construction,true,Broker,1217000.00,1281000.00,64000.00,95.00,6.383,30,Interest Only,6473.43,Approved,6,Very Good,2.79,0,false,436200.00,0.00
HL-00202,2025-11-19,2025-12-29,WA,Metro,Townhouse,Owner Occupied,Purchase,false,Broker,607000.00,1024000.00,417000.00,59.29,5.768,30,Principal and Interest,3549.23,Active,6,Excellent,2.24,24,true,271000.00,548449.56
HL-00203,2025-11-20,2025-12-13,VIC,Inner Regional,Apartment,Owner Occupied,Purchase,false,Broker,807000.00,1089000.00,282000.00,74.13,6.548,30,Principal and Interest,5126.29,Active,7,Excellent,6.35,0,false,127100.00,773222.53
HL-00204,2025-11-21,,NSW,Metro,House,Investment,Purchase,false,Broker,398000.00,525000.00,127000.00,75.87,6.708,25,Principal and Interest,2739.28,Declined,8,Very Good,6.88,0,false,75000.00,0.00
HL-00205,2025-11-08,,NSW,Inner Regional,Apartment,Owner Occupied,Construction,false,Broker,782000.00,982000.00,200000.00,79.62,6.264,30,Principal and Interest,4822.03,Approved,8,Very Good,3.74,0,false,209100.00,0.00
HL-00206,2025-11-04,,NSW,Metro,House,Owner Occupied,Purchase,false,Direct,1207000.00,1408000.00,201000.00,85.73,5.581,30,Principal and Interest,6914.68,Withdrawn,3,Good,6.40,0,false,188600.00,0.00
HL-00207,2025-11-02,2025-12-01,QLD,Outer Regional,Apartment,Owner Occupied,Purchase,false,Direct,583000.00,641000.00,58000.00,90.95,5.678,35,Principal and Interest,3199.11,Active,12,Very Good,5.78,0,false,100900.00,543138.54
HL-00208,2025-11-26,2026-01-23,WA,Metro,House,Owner Occupied,Refinance,true,Broker,852000.00,942000.00,90000.00,90.41,6.363,30,Principal and Interest,5308.69,Active,8,Good,3.94,0,false,216200.00,838455.69
HL-00209,2025-11-12,2026-01-07,SA,Inner Regional,Apartment,Owner Occupied,Refinance,false,Broker,291000.00,354000.00,63000.00,82.21,6.092,30,Principal and Interest,1761.94,Active,14,Fair,5.53,0,false,75000.00,268604.32
HL-00210,2025-11-10,2025-12-03,VIC,Inner Regional,House,Owner Occupied,Refinance,false,Digital,544000.00,1006000.00,462000.00,54.08,5.901,30,Principal and Interest,3227.01,Active,3,Very Good,6.65,12,true,81800.00,506918.96
HL-00211,2025-11-04,2025-11-30,WA,Metro,House,Owner Occupied,Purchase,true,Digital,674000.00,799000.00,125000.00,84.33,5.648,25,Principal and Interest,4198.73,Active,4,Good,2.60,0,false,259200.00,669561.83
HL-00212,2025-11-21,,WA,Metro,House,Owner Occupied,Purchase,false,Direct,518000.00,597000.00,79000.00,86.84,5.638,25,Principal and Interest,3223.80,Approved,5,Very Good,7.17,0,false,75000.00,0.00
HL-00213,2025-11-14,2025-12-08,VIC,Metro,Apartment,Owner Occupied,Refinance,false,Broker,628000.00,817000.00,189000.00,76.81,6.579,25,Principal and Interest,4271.35,Active,7,Very Good,5.41,0,false,116100.00,564923.03
HL-00214,2025-11-18,2025-12-31,QLD,Metro,Apartment,Investment,Construction,false,Direct,331000.00,401000.00,70000.00,82.53,6.315,30,Principal and Interest,2052.04,Active,5,Very Good,5.52,58,false,75000.00,298720.38
HL-00215,2025-11-26,2026-01-14,QLD,Metro,Apartment,Owner Occupied,Refinance,false,Digital,421000.00,569000.00,148000.00,74.01,6.247,30,Principal and Interest,2591.35,Active,4,Good,3.93,0,false,107100.00,375988.94
HL-00216,2025-11-30,2025-12-31,VIC,Metro,House,Owner Occupied,Purchase,false,Digital,547000.00,1164000.00,617000.00,46.99,6.524,25,Principal and Interest,3701.59,Active,4,Very Good,4.57,0,false,119700.00,536828.24
HL-00217,2025-11-06,,NSW,Inner Regional,House,Owner Occupied,Purchase,false,Direct,762000.00,885000.00,123000.00,86.14,6.332,30,Principal and Interest,4732.48,Approved,11,Very Good,6.03,0,false,126400.00,0.00
HL-00218,2025-11-27,,NSW,Metro,House,Investment,Purchase,false,Direct,464000.00,560000.00,96000.00,82.87,6.338,30,Principal and Interest,2883.54,Declined,6,Very Good,4.35,0,false,106700.00,0.00
HL-00219,2025-11-08,2025-12-14,NSW,Metro,House,Owner Occupied,Purchase,false,Broker,812000.00,1142000.00,330000.00,71.12,5.847,35,Interest Only,3956.47,Active,10,Very Good,6.08,0,false,133600.00,762806.36
HL-00220,2025-11-09,,NSW,Metro,Apartment,Owner Occupied,Refinance,false,Broker,632000.00,915000.00,283000.00,69.05,6.318,25,Principal and Interest,4195.72,Approved,8,Excellent,2.17,0,false,291200.00,0.00
HL-00221,2025-12-13,,QLD,Inner Regional,Townhouse,Owner Occupied,Purchase,false,Broker,618000.00,852000.00,234000.00,72.58,6.218,30,Principal and Interest,3792.28,Withdrawn,9,Excellent,5.19,0,false,119100.00,0.00
HL-00222,2025-12-05,2025-12-30,WA,Metro,House,Owner Occupied,Purchase,false,Direct,796000.00,865000.00,69000.00,92.00,5.766,30,Principal and Interest,4653.33,Active,7,Very Good,4.31,0,false,184700.00,739732.69
HL-00223,2025-12-01,2026-01-24,QLD,Metro,House,Owner Occupied,Refinance,false,Direct,601000.00,751000.00,150000.00,80.09,6.441,30,Principal and Interest,3775.44,Active,4,Excellent,4.93,0,false,121900.00,587286.10
HL-00224,2025-12-25,2026-02-07,NSW,Metro,House,Investment,Refinance,false,Broker,717000.00,1326000.00,609000.00,54.05,5.801,35,Principal and Interest,3992.89,Active,14,Very Good,4.05,0,false,177000.00,686163.43
HL-00225,2025-12-22,2026-01-12,NSW,Inner Regional,House,Owner Occupied,Purchase,true,Broker,442000.00,543000.00,101000.00,81.47,5.928,30,Principal and Interest,2629.59,Active,12,Fair,5.46,0,false,81000.00,424172.30
HL-00226,2025-12-13,2026-01-07,WA,Inner Regional,Apartment,Owner Occupied,Purchase,true,Direct,626000.00,793000.00,167000.00,78.94,6.288,30,Principal and Interest,3869.87,Active,5,Very Good,5.42,0,false,115500.00,580839.49
HL-00227,2025-12-01,,QLD,Metro,House,Owner Occupied,Construction,false,Broker,630000.00,972000.00,342000.00,64.77,5.548,30,Principal and Interest,3596.07,Declined,6,Limited,4.56,0,false,138200.00,0.00
HL-00228,2025-12-21,,VIC,Metro,Townhouse,Owner Occupied,Refinance,false,Broker,761000.00,961000.00,200000.00,79.22,6.264,30,Principal and Interest,4692.54,Declined,4,Very Good,6.91,0,false,110100.00,0.00
HL-00229,2025-12-25,,WA,Metro,House,Owner Occupied,Purchase,false,Digital,507000.00,854000.00,347000.00,59.38,6.288,30,Interest Only,2656.68,Approved,10,Fair,4.70,0,false,107900.00,0.00
HL-00230,2025-12-22,2026-02-07,VIC,Metro,Apartment,Investment,Purchase,false,Broker,615000.00,753000.00,138000.00,81.63,6.703,25,Principal and Interest,4230.87,Active,7,Good,4.72,0,false,130300.00,540764.38
HL-00231,2025-12-30,2026-02-26,NSW,Metro,House,Investment,Purchase,false,Direct,581000.00,805000.00,224000.00,72.23,6.676,30,Principal and Interest,3739.82,Active,7,Excellent,5.39,0,false,107800.00,573415.75
HL-00232,2025-12-13,2026-01-19,QLD,Metro,House,Investment,Purchase,false,Broker,702000.00,953000.00,251000.00,73.64,6.282,35,Principal and Interest,4136.55,Active,7,Good,4.61,0,false,152300.00,613045.43
HL-00233,2025-12-08,,WA,Metro,Apartment,Investment,Refinance,true,Broker,640000.00,886000.00,246000.00,72.20,6.251,30,Principal and Interest,3941.01,Approved,8,Excellent,3.52,0,false,181800.00,0.00
HL-00234,2025-12-06,,QLD,Metro,House,Owner Occupied,Purchase,false,Broker,772000.00,1081000.00,309000.00,71.44,5.535,25,Principal and Interest,4756.91,Approved,11,Very Good,2.30,0,false,335700.00,0.00
HL-00235,2025-12-11,2026-01-17,NSW,Metro,Apartment,Owner Occupied,Purchase,false,Direct,487000.00,595000.00,108000.00,81.89,6.611,25,Principal and Interest,3322.12,Active,10,Very Good,3.80,0,false,128200.00,474374.34
HL-00236,2025-12-28,,VIC,Metro,House,Owner Occupied,Purchase,false,Broker,576000.00,918000.00,342000.00,62.76,5.793,25,Principal and Interest,3638.64,Declined,6,Fair,3.41,0,false,168900.00,0.00
HL-00237,2025-12-16,2026-02-08,ACT,Inner Regional,House,Investment,Refinance,false,Direct,597000.00,735000.00,138000.00,81.24,6.100,30,Principal and Interest,3617.79,Active,7,Very Good,5.26,81,false,113500.00,584696.92
HL-00238,2025-12-26,2026-01-25,NSW,Metro,House,Investment,Construction,false,Digital,403000.00,575000.00,172000.00,70.17,6.475,30,Principal and Interest,2540.61,Active,5,Good,2.47,48,true,163200.00,363847.33
HL-00239,2025-12-10,2025-12-30,VIC,Metro,House,Investment,Construction,false,Broker,391000.00,535000.00,144000.00,73.16,6.626,25,Interest Only,2158.97,Active,8,Excellent,4.68,0,false,83500.00,370085.99
HL-00240,2025-12-15,2026-01-26,QLD,Metro,House,Owner Occupied,Purchase,false,Digital,421000.00,576000.00,155000.00,73.10,5.713,30,Principal and Interest,2446.96,Active,3,Excellent,4.81,0,false,87500.00,418153.60
HL-00241,2026-01-18,,NSW,Inner Regional,Townhouse,Investment,Purchase,false,Broker,425000.00,647000.00,222000.00,65.69,6.527,25,Principal and Interest,2876.80,Approved,9,Good,4.89,0,false,86900.00,0.00
